City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Hilo,US,19.7297,-155.09,66.2,88,20,4.61,light rain
80,Cabo San Lucas,MX,22.8909,-109.9124,78.8,29,20,8.25,few clouds
81,Praia Da Vitoria,PT,38.7333,-27.0667,61.0,88,75,23.67,broken clouds
82,Annau,TM,37.8876,58.516,75.2,22,75,9.22,broken clouds
83,Dikson,RU,73.5069,80.5464,-7.04,79,100,6.38,overcast clouds
84,Tiarei,PF,-17.5333,-149.3333,77.0,78,20,2.3,light rain
85,Benguela,AO,-12.5763,13.4055,83.7,73,33,7.49,scattered clouds
86,Esperance,AU,-33.8667,121.9,66.2,94,90,8.05,overcast clouds
87,Kizukuri,JP,40.8061,140.3861,46.99,78,100,5.37,overcast clouds
88,Puerto Del Rosario,ES,28.5004,-13.8627,69.8,68,20,16.11,few clouds
89,Ushuaia,AR,-54.8,-68.3,48.2,76,0,4.61,clear sky
90,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.4,59,92,11.18,overcast clouds
91,Namatanai,PG,-3.6667,152.4333,80.89,77,99,5.82,overcast clouds
92,Narsaq,GL,60.9167,-46.05,39.2,81,75,3.44,light snow
93,Cabatuan,PH,10.8794,122.486,76.5,83,100,8.9,overcast clouds
94,Key West,US,24.5557,-81.7826,71.6,56,1,19.57,clear sky
95,Iturama,BR,-19.7281,-50.1956,89.96,30,38,5.5,scattered clouds
96,Chopovychi,UA,50.8332,28.9533,44.49,58,71,6.44,broken clouds
97,Tanout,NE,14.9709,8.8879,89.42,5,16,15.46,few clouds
98,Pisz,PL,53.6274,21.8125,48.2,43,75,6.91,broken clouds
99,Mar Del Plata,AR,-38.0023,-57.5575,69.8,68,40,10.36,scattered clouds
100,Tura,IN,25.5198,90.2201,74.46,16,0,3.71,clear sky
101,Victoria,HK,22.2855,114.1577,79.0,89,1,4.88,clear sky
102,Bambous Virieux,MU,-20.3428,57.7575,80.01,89,40,6.91,light rain
103,Sinnamary,GF,5.3833,-52.95,78.4,86,100,8.21,overcast clouds
104,Nanortalik,GL,60.1432,-45.2371,35.8,99,100,3.27,overcast clouds
105,Kenai,US,60.5544,-151.2583,1.4,85,1,6.8,clear sky
106,Hofn,IS,64.2539,-15.2082,45.86,82,31,8.14,scattered clouds
107,Akdepe,TM,42.0551,59.3788,62.6,22,0,20.71,clear sky
108,Ancud,CL,-41.8697,-73.8203,55.99,87,90,2.3,overcast clouds
109,Atuona,PF,-9.8,-139.0333,80.8,78,82,13.33,broken clouds
110,Vao,NC,-22.6667,167.4833,74.23,88,100,29.89,light rain
111,Longyearbyen,SJ,78.2186,15.6401,21.2,79,75,16.11,broken clouds
112,Codrington,AU,-38.2667,141.9667,64.92,39,0,9.78,clear sky
113,Fukue,JP,32.6881,128.8419,64.18,86,100,17.34,overcast clouds
114,Littlehampton,GB,50.8069,-0.5378,55.0,58,0,16.11,clear sky
115,Cidreira,BR,-30.1811,-50.2056,71.8,72,82,10.45,broken clouds
116,Cherepovets,RU,59.1333,37.9,39.2,60,40,2.24,scattered clouds
117,Pedernales,DO,18.0384,-71.744,83.7,57,4,4.54,clear sky
118,Tasiilaq,GL,65.6145,-37.6368,32.0,86,90,6.91,overcast clouds
119,Potosi,BO,-19.5836,-65.7531,53.01,40,31,4.09,scattered clouds
120,Iqaluit,CA,63.7506,-68.5145,-13.0,64,20,2.3,few clouds
121,Bluff,NZ,-46.6,168.3333,49.08,72,44,9.51,scattered clouds
122,Barrow,US,71.2906,-156.7887,-23.8,76,40,6.91,scattered clouds
123,Tuktoyaktuk,CA,69.4541,-133.0374,-27.4,75,20,2.3,few clouds
124,East London,ZA,-33.0153,27.9116,62.6,94,90,16.11,light rain
