City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
226,Ambulu,ID,76.39,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
227,Toucheng,TW,77.0,scattered clouds,24.8592,121.8233,和風時尚VILLA會館
233,Padre Bernardo,BR,87.85,scattered clouds,-15.35,-48.5,
234,Sabya,SA,84.2,clear sky,17.1495,42.6254,Aseel Hotel Apartment
239,Namibe,AO,82.4,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
244,Maues,BR,87.94,overcast clouds,-3.3836,-57.7186,Hotel Miramar
245,Kavieng,PG,81.99,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
247,Indiaroba,BR,89.62,scattered clouds,-11.5192,-37.5117,Neide brito
250,Kismayo,SO,82.78,broken clouds,-0.3582,42.5454,Agan-Hotel
253,Sao Borja,BR,76.91,clear sky,-28.6606,-56.0044,Hotel Executivo
255,Acapulco,MX,87.8,smoke,16.8634,-99.8901,HS Hotsson Smart Acapulco
256,Hirara,JP,75.79,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
260,Montelibano,CO,88.86,broken clouds,7.9829,-75.4229,Montelíbano Plaza Hotel
263,Toamasina,MG,80.6,broken clouds,-18.1667,49.3833,Hotel H1
264,Mecca,SA,78.55,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
265,Karratha,AU,82.74,clear sky,-20.7377,116.8463,ibis Styles Karratha
271,Agadez,NE,84.67,clear sky,19.75,10.25,
272,Itarema,BR,86.92,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
277,Pochutla,MX,89.01,clear sky,15.7432,-96.4661,Hotel Posada San Jose
283,Banda Aceh,ID,80.58,overcast clouds,5.5577,95.3222,Sulthan Hotel International
288,Nisia Floresta,BR,89.6,few clouds,-6.0911,-35.2086,Rancho Crepusculo
295,Kikwit,CD,81.86,overcast clouds,-5.041,18.8162,Guest L'Amour
297,Cockburn Town,TC,78.13,clear sky,21.4612,-71.1419,Osprey Beach Hotel
300,Farafangana,MG,75.18,scattered clouds,-22.8167,47.8333,Miarina
301,San Juan,AR,80.2,clear sky,-31.5375,-68.5364,Hotel Provincial
303,Gigmoto,PH,78.44,clear sky,13.7796,124.39,Cj's Travellers Inn
307,Alta Floresta,BR,83.7,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
308,Padang,ID,77.0,few clouds,-0.9492,100.3543,Mercure Padang
309,Jacqueville,CI,89.6,few clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
312,Lasa,IT,80.6,clear sky,46.6166,10.7002,Pension Feldgärtenhof
313,Maxixe,MZ,82.4,few clouds,-23.8597,35.3472,Oceano
314,Calamar,CO,87.8,scattered clouds,10.2511,-74.9146,Hostal Katyalex
320,Umm Kaddadah,SD,87.3,few clouds,13.6017,26.6876,
323,Esmeraldas,BR,82.4,scattered clouds,-19.7625,-44.3139,Forasteiro Pousada - Hotel
331,Sakaraha,MG,76.78,few clouds,-22.9,44.5333,Le Relais
333,Lorengau,PG,81.43,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
